accuracy,loss,val_accuracy,val_loss
0.8097565174102783,0.5330740809440613,0.9211405515670776,0.46713846921920776
0.9488624334335327,0.29878124594688416,0.9211405515670776,0.3045274317264557
0.9562597870826721,0.22954313457012177,0.9211405515670776,0.27647700905799866
0.955676257610321,0.19311510026454926,0.9211405515670776,0.27211296558380127
0.9573935866355896,0.16442053020000458,0.9211881160736084,0.3161676228046417
0.9598519206047058,0.13748760521411896,0.9194024801254272,0.40559765696525574
0.9616726040840149,0.12837311625480652,0.9229269027709961,0.2549121081829071
0.9608892798423767,0.12463264167308807,0.9258684515953064,0.3803566098213196
0.961430013179779,0.12230567634105682,0.8193867206573486,0.7874213457107544
0.9618662595748901,0.11377347260713577,0.9339191913604736,0.2311515510082245
0.9625603556632996,0.11144320666790009,0.9296156167984009,0.3115243911743164
0.963847815990448,0.10411513596773148,0.93671715259552,0.2623012661933899
0.9647452235221863,0.10234173387289047,0.9369480609893799,0.21568459272384644
0.9649915099143982,0.09995162487030029,0.946936845779419,0.1593644767999649
0.9656924605369568,0.09722598642110825,0.94673752784729,0.15787291526794434
0.9655007123947144,0.09636141359806061,0.9464985728263855,0.15347778797149658
0.9659659266471863,0.09306032210588455,0.9485707879066467,0.15457740426063538
0.9656923413276672,0.09444832801818848,0.9483948349952698,0.15692447125911713
0.9652076363563538,0.09671968221664429,0.9355486631393433,0.2187521755695343
0.966572105884552,0.091990627348423,0.9337279200553894,0.19161884486675262
0.9661417007446289,0.09280527383089066,0.9091813564300537,0.2875863313674927
0.966011106967926,0.09124252945184708,0.9363608956336975,0.18432749807834625
0.966054379940033,0.09246882796287537,0.9360721111297607,0.19801242649555206
0.9669809937477112,0.08877784758806229,0.9325565695762634,0.20636700093746185
0.9676985144615173,0.08780672401189804,0.9359518885612488,0.22041331231594086
0.9674878120422363,0.0866454541683197,0.8664757609367371,0.36822083592414856
0.9665233492851257,0.09062577784061432,0.9364679455757141,0.22133496403694153
0.9679532051086426,0.0865345299243927,0.9087290167808533,0.24448329210281372
0.9691019058227539,0.08161953091621399,0.8986514806747437,0.26924043893814087
0.9697052240371704,0.08171539753675461,0.9165114760398865,0.21742834150791168
